[2026-03-31T23:37:20.806Z] GET https://tappwater.com.au/products/ecopro-smr-tap-water-filter?view=smr-clean → 200 (214ms, 301315B)
[2026-03-31T23:37:21.023Z] GET https://tappwater.com.au/cdn/shopifycloud/storefront/assets/storefront/storefronts.specrules-1ec91466.json → 200 (27ms, 574B)
[2026-03-31T23:37:21.023Z] GET https://tappwater.com.au/checkouts/internal/preloads.js?locale=en-AU → 200 (56ms, 7647B)
[2026-03-31T23:37:21.023Z] GET https://shop.app/checkouts/internal/preloads.js?locale=en-AU&shop_id=51448840387 → 200 (186ms, ?B)
[2026-03-31T23:37:21.023Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js → 200 (22ms, 594B)
[2026-03-31T23:37:21.024Z] GET https://tappwater.com.au/cdn/shopifycloud/storefront/assets/storefront/load_feature-496de5fe.js → pending (?ms, ?B)
[2026-03-31T23:37:21.024Z] GET https://tappwater.com.au/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d7.js?v=20250812 → pending (?ms, ?B)
[2026-03-31T23:37:21.024Z] GET https://tappwater.com.au/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css → 200 (19ms, 13937B)
[2026-03-31T23:37:21.024Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700;800;900&display=swap → pending (?ms, ?B)
[2026-03-31T23:37:21.024Z] GET https://static.klaviyo.com/onsite/js/UiBpzv/klaviyo.js?company_id=UiBpzv → pending (?ms, ?B)
[2026-03-31T23:37:21.024Z] GET https://config.gorgias.chat/bundle-loader/shopify/tapp-water-au.myshopify.com → pending (?ms, ?B)
[2026-03-31T23:37:21.024Z] GET https://content.9gtb.com/loader.js → pending (?ms, ?B)
[2026-03-31T23:37:21.024Z] GET https://config.gorgias.help/api/contact-forms/replace-mailto-script.js?shopName=tapp-water-au → pending (?ms, ?B)
[2026-03-31T23:37:21.046Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_obarD5ei.en.esm.js → 200 (28ms, 1576B)
[2026-03-31T23:37:21.046Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/client.shop-cart-sync_BL7XneQx.en.esm.js → 200 (36ms, 2223B)
[2026-03-31T23:37:21.046Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.errors_C1VNjpXc.esm.js → 200 (33ms, 2026B)
[2026-03-31T23:37:21.046Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.v4_CSBSzmbm.esm.js → 200 (34ms, 950B)
[2026-03-31T23:37:21.046Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.index_BoASxEyX.en.esm.js → 200 (29ms, 105958B)
[2026-03-31T23:37:21.046Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.document_wK9XgDsR.esm.js → 200 (44ms, 493B)
[2026-03-31T23:37:21.047Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.debounce_Cw7GgcT5.esm.js → 200 (45ms, 243B)
[2026-03-31T23:37:21.047Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.window_BV7D7UfQ.esm.js → 200 (36ms, 1230B)
[2026-03-31T23:37:21.047Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.authorize_DnLdr8Gd.esm.js → 200 (45ms, 579B)
[2026-03-31T23:37:21.047Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.useEventListener_DL4b0Lnd.en.esm.js → 200 (59ms, 1371B)
[2026-03-31T23:37:21.047Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.validators_R1LWimtW.esm.js → 200 (43ms, 1058B)
[2026-03-31T23:37:21.047Z] GET https://tappwater.com.au/cdn/shopifycloud/shop-js/modules/v2/chunk.defineInitFunction_D550SKm7.esm.js → 200 (35ms, 290B)
[2026-03-31T23:37:21.089Z] GET https://cdn.shopify.com/extensions/019d44bb-ac47-79b0-9820-81035e3a3066/judgeme-430/assets/loader.js → pending (?ms, ?B)
[2026-03-31T23:37:21.089Z] GET https://tappwater.com.au/cdn/shopifycloud/perf-kit/shopify-perf-kit-3.3.1.min.js → pending (?ms, ?B)
[2026-03-31T23:37:21.089Z] GET https://tappwater.com.au/cdn/shop/files/Tappwater_Logo_svg_200x.png?v=11707186551042679363 → 200 (39ms, 3224B)
[2026-03-31T23:37:21.089Z] GET https://tappwater.com.au/cdn/shop/files/2025_07_21_Tappwater0083.jpg?v=1771828956&width=800 → 200 (35ms, 52350B)
[2026-03-31T23:37:21.089Z] GET https://tappwater.com.au/cdn/shop/files/2025_07_21_Tappwater0083.jpg?v=1771828956&width=600 → 200 (64ms, 36154B)
[2026-03-31T23:37:21.172Z] GET https://cdn.shopify.com/extensions/019d444c-0ffd-7e73-abc5-e253de5b4bdb/moonbundle-617/assets/moonbundle-block-v2.0.js → pending (?ms, ?B)
[2026-03-31T23:37:21.172Z] GET https://cdn.shopify.com/extensions/019d444c-0ffd-7e73-abc5-e253de5b4bdb/moonbundle-617/assets/moonbundle-v2.0.js → pending (?ms, ?B)
[2026-03-31T23:37:21.232Z] GET https://www.clarity.ms/tag/j4lvvr9u30?ref=shopify → 200 (349ms, 707B)
[2026-03-31T23:37:21.243Z] GET https://conf.config-security.com/model → 200 (74ms, 304B)
[2026-03-31T23:37:21.243Z] POST https://api.config-security.com/event → 200 (199ms, 36B)
[2026-03-31T23:37:21.243Z] GET https://api.config-security.com/first?host=tapp-water-au.myshopify.com&plat=SHOPIFY → 200 (73ms, 159061B)
